predicted_emotion,,cleaned_text
anger,2,im grabbing a minute to post i feel greedy wrong
anger,4,i am feeling grouchy
anger,12,i think it s the easiest time of year to feel dissatisfied
anger,20,i feel irritated and rejected without anyone doing anything or saying anything
anger,24,i already feel like i fucked up though because i dont usually eat at all in the morning
disgust,1963,a study visit to a chicken factory the butchery
disgust,2067,i felt disgust of dirty
disgust,4717,the first day i visited the hospital i was disgusted because i experienced offensive smell which i never expected i nearly ran away from the course
disgust,7190,when i ate a rotten apple
disgust,8107,a scene in a film in which one man repressed another one by concidence
fear,7,i feel as confused about life as a teenager or as jaded as a year old man
fear,19,i now feel compromised and skeptical of the value of every unit of work i put in
fear,21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for
fear,26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture
fear,31,i remember feeling acutely distressed for a few days
joy,3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property
joy,8,i have been with petronas for years i feel that petronas has performed well and made a huge profit
joy,9,i feel romantic too
joy,10,i feel like i have to make the suffering i m seeing mean something
joy,11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter
neutral,3111,in the army
neutral,4150,earth crake
neutral,4997,during lectures
neutral,5859,during the last academic year ie just before the closure
neutral,8818,in sweden
sadness,0,i didnt feel humiliated
sadness,1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
sadness,5,ive been feeling a little burdened lately wasnt sure why that was
sadness,13,i feel low energy i m just thirsty
sadness,16,i didnt really feel that embarrassed
surprise,6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
surprise,32,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies
surprise,57,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations
surprise,64,i am now nearly finished the week detox and i feel amazing
surprise,145,i started feeling funny and then friday i woke up sick as a dog
